challenge_team_id,challenge_team_abbr,challenge_side,attempts,overturns,confirms,overturn_rate,direct_wpa,option_wpa_proxy,total_xwpa,risk_adjusted_xwpa,xwpa_per_challenge,risk_adjusted_per_challenge,wpa_if_overturned,savant_challenge_runs,strikeout_flips,walk_flips,exhausting_fails
141,TOR,batting,35,17,18,0.4857142857142857,0.321933241687419,-0.40680000000000005,0.321933241687419,-0.08486675831258106,0.009198092619640543,-0.002424764523216602,0.5206116891310723,-1.787241101259647,4,1,7
121,NYM,fielding,28,19,9,0.6785714285714286,0.310014717320197,-0.20340000000000003,0.310014717320197,0.10661471732019694,0.011071954190007035,0.0038076684757213193,0.4749907322643959,1.3661554102998508,5,2,1
141,TOR,fielding,32,19,13,0.59375,0.3014304380332513,-0.2938,0.3014304380332513,0.007630438033251273,0.009419701188539104,0.00023845118853910228,0.6162292547056355,0.38096997831699153,7,2,4
147,NYY,batting,43,18,25,0.4186046511627907,0.28809989812268,-0.5650000000000001,0.28809989812268,-0.27690010187732,0.00669999763076,-0.00643953725296093,0.7261688446904965,-3.0886192732408952,4,1,10
134,PIT,batting,33,15,18,0.45454545454545453,0.26912631960941585,-0.40680000000000005,0.26912631960941585,-0.13767368039058417,0.008155343018467147,-0.004171929708805581,0.7426677769585928,-0.9181415471382796,4,1,4
140,TEX,batting,24,13,11,0.5416666666666666,0.26910997111258916,-0.24860000000000002,0.26910997111258916,0.020509971112589148,0.011212915463024548,0.0008545821296912145,0.6853069216910939,-0.11228602569683938,7,1,1
143,PHI,batting,28,14,14,0.5,0.2678342247889164,-0.3164,0.2678342247889164,-0.048565775211083656,0.009565508028175585,-0.0017344919718244162,0.5459938071029345,-0.2038621219612061,3,3,3
114,CLE,batting,31,11,20,0.3548387096774194,0.2650280929269046,-0.45200000000000007,0.2650280929269046,-0.18697190707309544,0.00854929332022273,-0.006031351841067595,0.6421814138473558,-2.3093365915811805,4,2,4
113,CIN,fielding,21,15,6,0.7142857142857143,0.2608564196917183,-0.1356,0.2608564196917183,0.1252564196917183,0.012421734271034204,0.005964591413891347,0.41652424719458914,1.0771713258883444,5,1,0
144,ATL,fielding,37,21,16,0.5675675675675675,0.25790011607934393,-0.36160000000000003,0.25790011607934393,-0.1036998839206561,0.006970273407549836,-0.0028026995654231376,0.6408820311803455,0.20714077239187212,8,5,5
135,SD,batting,21,11,10,0.5238095238095238,0.2523685843526363,-0.22600000000000003,0.2523685843526363,0.02636858435263627,0.012017551635839825,0.0012556468739350606,0.3906092212049128,0.2242816609041955,4,0,2
118,KC,batting,25,16,9,0.64,0.24837565152925567,-0.20340000000000003,0.24837565152925567,0.04497565152925566,0.009935026061170226,0.0017990260611702264,0.3828977564908951,0.3106212488613218,3,1,4
142,MIN,batting,48,21,27,0.4375,0.2423685579184562,-0.6102000000000001,0.2423685579184562,-0.36783144208154384,0.005049344956634504,-0.007663155043365497,0.9359277411524353,-2.2575747106258235,5,5,11
109,AZ,fielding,31,22,9,0.7096774193548387,0.2393394820823984,-0.20340000000000003,0.2393394820823984,0.03593948208239841,0.007720628454270916,0.0011593381316902713,0.3942237100400569,1.4425746878528163,3,2,1
119,LAD,batting,21,9,12,0.42857142857142855,0.2327850992831403,-0.2712,0.2327850992831403,-0.03841490071685972,0.011085004727768586,-0.0018292809865171295,0.5972954185465533,-0.24213959041020242,4,2,4
