role,player_id,player_name,challenge_team_abbr,missed_opportunities,missed_xwpa,missed_xwpa_per_opportunity,missed_wpa_if_overturned,avg_missed_overturn_probability,avg_zone_distance_inches,missed_batting_xwpa,missed_fielding_xwpa
pitcher,669022,MacKenzie Gore,TEX,13,0.1484951933430911,0.011422707180237777,0.5105341506131083,0.4987508232978444,0.7928528477264639,0,0.1484951933430911
pitcher,680736,Justin Wrobleski,LAD,23,0.14832010050359823,0.0064487000218955755,0.37474605305113184,0.6721681645116215,1.4190444535215947,0,0.14832010050359823
pitcher,669387,Carmen Mlodzinski,PIT,11,0.14562835397581517,0.013238941270528652,0.261878282702346,0.6612147854823237,1.317414645194267,0,0.14562835397581517
pitcher,607067,Colin Rea,CHC,13,0.14502672643460235,0.01115590203343095,0.34028538280157977,0.6232226745578717,1.1736647313935522,0,0.14502672643460235
pitcher,640455,Sean Manaea,NYM,15,0.1421318193256984,0.009475454621713227,0.3166787043377064,0.6785236414788145,1.4212919418442729,0,0.1421318193256984
pitcher,592332,Kevin Gausman,TOR,17,0.14124516902231415,0.008308539354253774,0.32159299217270837,0.6737829309612199,1.5719126375662016,0,0.14124516902231415
hitter,686217,Sal Frelick,MIL,12,0.14118602549561218,0.011765502124634349,0.2857282151320169,0.6787985967310498,1.4248499075783314,0.14118602549561218,0
hitter,702284,Cole Young,SEA,17,0.14067307116182964,0.008274886538931155,0.39994508598005357,0.6072163584662563,1.1789417473872046,0.14067307116182964,0
pitcher,607536,Kyle Freeland,COL,14,0.14040253459505544,0.010028752471075389,0.3459765001971228,0.6622165791058318,1.3296158710833577,0,0.14040253459505544
hitter,666969,Adolis García,PHI,5,0.13981274067706403,0.027962548135412806,0.19902873219973438,0.7466759681319767,1.7444530536568716,0.13981274067706403,0
hitter,702616,Jackson Holliday,BAL,8,0.13904020006474868,0.017380025008093585,0.2383034273038636,0.6872050237703168,1.6750440829670976,0.13904020006474868,0
hitter,621493,Taylor Ward,BAL,17,0.13876218293192227,0.008162481348936605,0.32604119490725486,0.7122437858456965,1.7052269059685863,0.13876218293192227,0
hitter,678554,Curtis Mead,WSH,15,0.1378757362862162,0.009191715752414413,0.34776088036357644,0.6733719307474135,1.5390942095188622,0.1378757362862162,0
pitcher,691725,Andrew Painter,PHI,16,0.13647841463797167,0.00852990091487323,0.32057449855387643,0.6971950800780353,1.5565814662647606,0,0.13647841463797167
pitcher,672282,Reid Detmers,LAA,21,0.1361302768550768,0.006482394135956039,0.3868241223628591,0.6782102440750114,1.4829523326882312,0,0.1361302768550768
pitcher,669461,Matthew Liberatore,STL,13,0.13584776477051919,0.010449828059270706,0.30264449923582304,0.671486010461124,1.3326889909869353,0,0.13584776477051919
pitcher,676974,Max Meyer,MIA,16,0.1355884160855658,0.008474276005347862,0.3048667089705038,0.6780735340221511,1.386624681004463,0,0.1355884160855658
pitcher,642547,Freddy Peralta,NYM,10,0.13549162405023193,0.013549162405023194,0.261160728923775,0.7311880554711155,1.7308009782410214,0,0.13549162405023193
pitcher,801139,Payton Tolle,BOS,15,0.13475872120265,0.008983914746843335,0.3265085709111402,0.6518686137770698,1.284310315384359,0,0.13475872120265
hitter,643289,Mauricio Dubón,ATL,8,0.13448269758401754,0.016810337198002193,0.21689046551633734,0.7279403468726088,1.7254590781072912,0.13448269758401754,0
